,mll_annotation,prediction,ID,im_tiffname
1535,large granulated lymphocyte,large granulated lymphocyte,UGU,263.TIF
1536,atypical promyelocyte,atypical promyelocyte,BHS,123.TIF
1537,reactive lymphocyte,reactive lymphocyte,UGU,286.TIF
1538,reactive lymphocyte,typical lymphocyte,UGU,179.TIF
1539,other,other,PKC,137.TIF
1540,other,other,PKC,390.TIF
1541,monocyte,typical lymphocyte,UGU,220.TIF
1542,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,120.TIF
1543,monocyte,myeloblast,UVT,458.TIF
1544,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,434.TIF
1545,typical lymphocyte,typical lymphocyte,SBY,200.TIF
1546,myeloblast,myeloblast,UGU,085.TIF
1547,atypical promyelocyte,atypical promyelocyte,BHS,462.TIF
1548,typical lymphocyte,typical lymphocyte,SBY,074.TIF
1549,other,other,UVT,186.TIF
1550,other,neutrophil granulocyte (segmented),UGU,256.TIF
1551,monocyte,myelocyte,PKC,364.TIF
1552,monocyte,large granulated lymphocyte,UGU,157.TIF
1553,atypical promyelocyte,atypical promyelocyte,BHS,242.TIF
1554,other,other,PKC,020.TIF
1555,myeloblast,atypical promyelocyte,BHS,174.TIF
1556,typical lymphocyte,typical lymphocyte,SBY,057.TIF
1557,other,myeloblast,UGU,167.TIF
1558,other,other,BHS,305.TIF
1559,monocyte,atypical promyelocyte,BHS,310.TIF
1560,other,atypical promyelocyte,BHS,109.TIF
1561,other,myeloblast,UGU,420.TIF
1562,myeloblast,myeloblast,SBY,005.TIF
1563,reactive lymphocyte,mononucleosis,UGU,196.TIF
1564,other,basophil granulocyte,BHS,151.TIF
1565,monocyte,large granulated lymphocyte,UGU,022.TIF
1566,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,332.TIF
1567,monocyte,myelocyte,BHS,133.TIF
1568,other,myeloblast,BHS,233.TIF
1569,other,neutrophil granulocyte (segmented),PKC,490.TIF
1570,atypical promyelocyte,atypical promyelocyte,PKC,029.TIF
1571,other,atypical promyelocyte,BHS,105.TIF
1572,monocyte,atypical promyelocyte,BHS,377.TIF
1573,myeloblast,myeloblast,SBY,073.TIF
1574,typical lymphocyte,typical lymphocyte,SBY,305.TIF
1575,monocyte,monocyte,SBY,338.TIF
1576,other,other,PKC,473.TIF
1577,normo,normo,PKC,094.TIF
1578,large granulated lymphocyte,basophil granulocyte,UGU,190.TIF
1579,other,other,UVT,239.TIF
1580,monocyte,metamyelocyte,BHS,210.TIF
1581,typical lymphocyte,typical lymphocyte,SBY,166.TIF
1582,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,057.TIF
1583,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,321.TIF
1584,monocyte,myeloblast,UVT,298.TIF
1585,myeloblast,myeloblast,UGU,443.TIF
1586,other,neutrophil granulocyte (segmented),PKC,110.TIF
1587,myeloblast,myeloblast,UVT,152.TIF
1588,atypical promyelocyte,atypical promyelocyte,BHS,111.TIF
1589,other,other,BHS,093.TIF
1590,other,eosinophil granulocyte,PKC,073.TIF
1591,other,typical lymphocyte,BHS,259.TIF
1592,cup-like blast,myeloblast,UVT,351.TIF
1593,reactive lymphocyte,typical lymphocyte,UGU,465.TIF
1594,myeloblast with auer rod,atypical promyelocyte,BHS,028.TIF
1595,other,neutrophil granulocyte (segmented),PKC,131.TIF
1596,atypical promyelocyte,atypical promyelocyte,BHS,367.TIF
1597,other,neutrophil granulocyte (segmented),PKC,251.TIF
1598,myeloblast,atypical promyelocyte,BHS,465.TIF
1599,other,smudge cell,SBY,146.TIF
1600,myeloblast,atypical promyelocyte,SBY,283.TIF
1601,myeloblast,myeloblast,SBY,228.TIF
1602,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,091.TIF
1603,monocyte,monocyte,SBY,353.TIF
1604,other,typical lymphocyte,UGU,089.TIF
1605,myeloblast,myeloblast,SBY,430.TIF
1606,reactive lymphocyte,plasma cell,UGU,222.TIF
1607,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,357.TIF
1608,typical lymphocyte,plasma cell,SBY,385.TIF
1609,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,006.TIF
1610,large granulated lymphocyte,large granulated lymphocyte,SBY,147.TIF
1611,typical lymphocyte,atypical promyelocyte,BHS,443.TIF
1612,monocyte,neutrophil granulocyte (band),BHS,392.TIF
1613,monocyte,mononucleosis,SBY,454.TIF
1614,myeloblast,myeloblast,UGU,428.TIF
1615,monocyte,mononucleosis,UVT,076.TIF
1616,typical lymphocyte,typical lymphocyte,UGU,112.TIF
1617,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,037.TIF
1618,monocyte,metamyelocyte,BHS,244.TIF
1619,other,other,SBY,184.TIF
1620,atypical promyelocyte,atypical promyelocyte,BHS,394.TIF
1621,myeloblast,myeloblast,UGU,492.TIF
1622,other,other,UVT,471.TIF
1623,monocyte,promyelocyte,SBY,099.TIF
1624,other,other,PKC,026.TIF
1625,monocyte,myeloblast,UVT,467.TIF
1626,normo,normo,PKC,066.TIF
1627,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,441.TIF
1628,reactive lymphocyte,typical lymphocyte,UGU,454.TIF
1629,monocyte,myeloblast,UVT,385.TIF
1630,other,smudge cell,UVT,406.TIF
1631,reactive lymphocyte,reactive lymphocyte,UGU,142.TIF
1632,myeloblast,myeloblast,UVT,043.TIF
1633,other,other,PKC,383.TIF
1634,atypical promyelocyte,myelocyte,PKC,216.TIF
1635,myeloblast,myeloblast,UVT,464.TIF
1636,typical lymphocyte,typical lymphocyte,SBY,161.TIF
1637,monocyte,myeloblast,UVT,297.TIF
1638,other,other,UVT,288.TIF
1639,myeloblast,myeloblast,UGU,206.TIF
1640,myeloblast,myeloblast,SBY,031.TIF
1641,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,139.TIF
1642,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,010.TIF
1643,large granulated lymphocyte,large granulated lymphocyte,UGU,431.TIF
1644,cup-like blast,myeloblast,UVT,358.TIF
1645,other,atypical promyelocyte,BHS,453.TIF
1646,atypical promyelocyte,atypical promyelocyte,PKC,114.TIF
1647,other,other,BHS,190.TIF
1648,neutrophil granulocyte (segmented),other,BHS,035.TIF
1649,myeloblast,myeloblast,UVT,139.TIF
1650,other,neutrophil granulocyte (band),PKC,429.TIF
1651,monocyte,mononucleosis,UGU,020.TIF
1652,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,472.TIF
1653,myeloblast,myeloblast,UGU,337.TIF
1654,atypical promyelocyte,atypical promyelocyte,PKC,487.TIF
1655,other,other,UVT,265.TIF
1656,monocyte,myeloblast,PKC,004.TIF
1657,myeloblast,myeloblast,SBY,066.TIF
1658,myeloblast,myeloblast,UGU,152.TIF
1659,myeloblast,myeloblast,SBY,187.TIF
1660,atypical promyelocyte,atypical promyelocyte,PKC,344.TIF
1661,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,489.TIF
1662,other,myelocyte,PKC,006.TIF
1663,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,175.TIF
1664,monocyte,metamyelocyte,BHS,391.TIF
1665,large granulated lymphocyte,large granulated lymphocyte,UGU,073.TIF
1666,myeloblast,atypical promyelocyte,BHS,020.TIF
1667,other,basophil granulocyte,SBY,429.TIF
1668,monocyte,metamyelocyte,PKC,077.TIF
1669,other,other,UGU,451.TIF
1670,large granulated lymphocyte,large granulated lymphocyte,UGU,235.TIF
1671,other,neutrophil granulocyte (segmented),PKC,084.TIF
1672,other,other,PKC,209.TIF
1673,atypical promyelocyte,atypical promyelocyte,PKC,041.TIF
1674,myeloblast with auer rod,myeloblast,UVT,149.TIF
1675,monocyte,metamyelocyte,PKC,238.TIF
1676,other,atypical promyelocyte,BHS,434.TIF
1677,typical lymphocyte,typical lymphocyte,UGU,013.TIF
1678,myeloblast,mononucleosis,UVT,338.TIF
1679,ambiguous,myeloblast,SBY,131.TIF
1680,monocyte,mononucleosis,UVT,497.TIF
1681,other,atypical promyelocyte,BHS,058.TIF
1682,other,other,UVT,362.TIF
1683,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,327.TIF
1684,other,other,UGU,383.TIF
1685,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,264.TIF
1686,ambiguous,myeloblast,SBY,372.TIF
1687,other,smudge cell,UVT,466.TIF
1688,myeloblast,myeloblast,UVT,052.TIF
1689,myeloblast,myeloblast,UVT,495.TIF
1690,typical lymphocyte,typical lymphocyte,PKC,435.TIF
1691,other,smudge cell,SBY,394.TIF
1692,typical lymphocyte,typical lymphocyte,SBY,448.TIF
1693,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,014.TIF
1694,typical lymphocyte,typical lymphocyte,PKC,172.TIF
1695,monocyte,monocyte,PKC,061.TIF
1696,reactive lymphocyte,large granulated lymphocyte,UGU,228.TIF
1697,myeloblast,myeloblast,UVT,013.TIF
1698,myeloblast,myeloblast,UVT,207.TIF
1699,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,366.TIF
1700,myeloblast,myeloblast,UVT,292.TIF
1701,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,005.TIF
1702,myeloblast,atypical promyelocyte,UVT,102.TIF
1703,myeloblast,myeloblast,UVT,377.TIF
1704,typical lymphocyte,typical lymphocyte,UVT,171.TIF
1705,monocyte,reactive lymphocyte,UGU,276.TIF
1706,monocyte,bilobed M3v,PKC,065.TIF
1707,myeloblast,myeloblast,UGU,347.TIF
1708,myeloblast,neoplastic lymphocyte,SBY,208.TIF
1709,reactive lymphocyte,typical lymphocyte,UVT,018.TIF
1710,other,other,SBY,383.TIF
1711,myeloblast,myeloblast,SBY,233.TIF
1712,ambiguous,other,BHS,313.TIF
1713,myeloblast,myeloblast,SBY,135.TIF
1714,other,other,PKC,453.TIF
1715,monocyte,myeloblast,UVT,213.TIF
1716,typical lymphocyte,typical lymphocyte,UGU,316.TIF
1717,neutrophil granulocyte (band),neutrophil granulocyte (segmented),PKC,253.TIF
1718,monocyte,atypical promyelocyte,PKC,399.TIF
1719,typical lymphocyte,typical lymphocyte,BHS,216.TIF
1720,monocyte,monocyte,SBY,486.TIF
1721,other,smudge cell,UVT,200.TIF
1722,myeloblast,myeloblast,UVT,399.TIF
1723,other,other,BHS,025.TIF
1724,atypical promyelocyte,atypical promyelocyte,PKC,210.TIF
1725,myeloblast,myeloblast,UGU,341.TIF
1726,typical lymphocyte,typical lymphocyte,UGU,051.TIF
1727,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,141.TIF
1728,monocyte,typical lymphocyte,PKC,270.TIF
1729,myeloblast,myeloblast,UGU,369.TIF
1730,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,380.TIF
1731,typical lymphocyte,typical lymphocyte,UGU,106.TIF
1732,atypical promyelocyte,atypical promyelocyte,PKC,223.TIF
1733,monocyte,other,BHS,084.TIF
1734,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,118.TIF
1735,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,174.TIF
1736,myeloblast,myeloblast,SBY,038.TIF
1737,typical lymphocyte,typical lymphocyte,BHS,247.TIF
1738,monocyte,atypical promyelocyte,SBY,274.TIF
1739,typical lymphocyte,typical lymphocyte,UGU,244.TIF
1740,reactive lymphocyte,large granulated lymphocyte,UGU,416.TIF
1741,other,smudge cell,UVT,257.TIF
1742,other,atypical promyelocyte,PKC,129.TIF
1743,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,098.TIF
1744,other,basophil granulocyte,UGU,442.TIF
1745,myeloblast,myeloblast,SBY,164.TIF
1746,other,basophil granulocyte,PKC,009.TIF
1747,myelocyte,myeloblast,SBY,091.TIF
1748,ambiguous,neutrophil granulocyte (segmented),UVT,451.TIF
1749,other,other,UGU,429.TIF
1750,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,348.TIF
1751,other,other,BHS,155.TIF
1752,typical lymphocyte,typical lymphocyte,BHS,406.TIF
1753,monocyte,monocyte,UGU,479.TIF
1754,atypical promyelocyte,atypical promyelocyte,PKC,324.TIF
1755,myeloblast,myeloblast,PKC,280.TIF
1756,myeloblast,myeloblast,UGU,402.TIF
1757,reactive lymphocyte,typical lymphocyte,UVT,389.TIF
1758,monocyte,metamyelocyte,PKC,150.TIF
1759,other,atypical promyelocyte,BHS,052.TIF
1760,myelocyte,myeloblast,SBY,434.TIF
1761,myeloblast,myeloblast,SBY,277.TIF
1762,monocyte,monocyte,PKC,149.TIF
1763,other,basophil granulocyte,SBY,212.TIF
1764,other,other,UVT,193.TIF
1765,other,other,UVT,434.TIF
1766,monocyte,monocyte,SBY,093.TIF
1767,promonocyte,myeloblast,SBY,002.TIF
1768,myeloblast,myeloblast,SBY,349.TIF
1769,other,large granulated lymphocyte,UGU,258.TIF
1770,monocyte,large granulated lymphocyte,UGU,255.TIF
1771,other,neutrophil granulocyte (segmented),BHS,343.TIF
1772,monocyte,myelocyte,PKC,267.TIF
1773,large granulated lymphocyte,large granulated lymphocyte,UVT,086.TIF
1774,other,other,PKC,036.TIF
1775,typical lymphocyte,typical lymphocyte,SBY,114.TIF
1776,reactive lymphocyte,mononucleosis,SBY,048.TIF
1777,other,atypical promyelocyte,BHS,446.TIF
1778,other,smudge cell,UVT,347.TIF
1779,myeloblast,neoplastic lymphocyte,SBY,229.TIF
1780,monocyte,metamyelocyte,UGU,386.TIF
1781,ambiguous,eosinophil granulocyte,SBY,042.TIF
1782,monocyte,other,BHS,258.TIF
1783,other,other,PKC,000.TIF
1784,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,412.TIF
1785,myeloblast,atypical promyelocyte,UGU,287.TIF
1786,monocyte,other,BHS,041.TIF
1787,monocyte,mononucleosis,SBY,468.TIF
1788,other,metamyelocyte,BHS,408.TIF
1789,other,smudge cell,UVT,439.TIF
1790,myeloblast,plasma cell,BHS,063.TIF
1791,other,other,UVT,060.TIF
1792,monocyte,neutrophil granulocyte (segmented),BHS,082.TIF
1793,monocyte,monocyte,UGU,349.TIF
1794,other,other,SBY,242.TIF
1795,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,140.TIF
1796,myeloblast,myeloblast,UGU,346.TIF
1797,other,typical lymphocyte,BHS,459.TIF
1798,other,smudge cell,PKC,228.TIF
1799,other,other,BHS,106.TIF
1800,reactive lymphocyte,reactive lymphocyte,UGU,119.TIF
1801,reactive lymphocyte,typical lymphocyte,UVT,050.TIF
1802,myeloblast,atypical promyelocyte,SBY,152.TIF
1803,monocyte,monocyte,SBY,367.TIF
1804,other,atypical promyelocyte,BHS,167.TIF
1805,monocyte,monocyte,UVT,225.TIF
1806,monocyte,typical lymphocyte,PKC,028.TIF
1807,other,myelocyte,PKC,375.TIF
1808,other,smudge cell,UVT,219.TIF
1809,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,056.TIF
1810,normo,normo,PKC,081.TIF
1811,other,other,UVT,335.TIF
1812,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,317.TIF
1813,other,other,UVT,074.TIF
1814,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,203.TIF
1815,monocyte,monocyte,SBY,417.TIF
1816,neutrophil granulocyte (segmented),neutrophil granulocyte (band),PKC,443.TIF
1817,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,433.TIF
1818,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,182.TIF
1819,myeloblast,myeloblast,PKC,288.TIF
1820,atypical promyelocyte,atypical promyelocyte,PKC,044.TIF
1821,myeloblast,myeloblast,UVT,475.TIF
1822,monocyte,myeloblast,SBY,439.TIF
1823,typical lymphocyte,typical lymphocyte,PKC,457.TIF
1824,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,291.TIF
1825,atypical promyelocyte,atypical promyelocyte,BHS,277.TIF
1826,basophil granulocyte,basophil granulocyte,SBY,292.TIF
1827,monocyte,neutrophil granulocyte (segmented),UGU,331.TIF
1828,myeloblast,myeloblast,SBY,143.TIF
1829,other,smudge cell,UVT,350.TIF
1830,myeloblast,myeloblast,UGU,372.TIF
1831,monocyte,monocyte,UGU,170.TIF
1832,monocyte,large granulated lymphocyte,UGU,227.TIF
1833,other,myeloblast,PKC,318.TIF
1834,neutrophil granulocyte (segmented),other,BHS,055.TIF
1835,large granulated lymphocyte,large granulated lymphocyte,SBY,422.TIF
1836,ambiguous,myelocyte,UGU,289.TIF
1837,other,other,BHS,261.TIF
1838,other,other,PKC,469.TIF
1839,other,other,UVT,237.TIF
1840,monocyte,other,BHS,338.TIF
1841,typical lymphocyte,typical lymphocyte,UGU,498.TIF
1842,other,other,PKC,340.TIF
1843,myeloblast,myeloblast,SBY,318.TIF
1844,monocyte,typical lymphocyte,UGU,405.TIF
1845,typical lymphocyte,typical lymphocyte,UGU,384.TIF
1846,monocyte,myeloblast,PKC,200.TIF
1847,other,myelocyte,PKC,308.TIF
1848,monocyte,metamyelocyte,BHS,059.TIF
1849,monocyte,neutrophil granulocyte (segmented),UGU,009.TIF
1850,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,404.TIF
1851,large granulated lymphocyte,large granulated lymphocyte,PKC,070.TIF
1852,reactive lymphocyte,atypical promyelocyte,SBY,380.TIF
1853,reactive lymphocyte,myeloblast,UGU,014.TIF
1854,atypical promyelocyte,atypical promyelocyte,BHS,451.TIF
1855,monocyte,myeloblast,UVT,354.TIF
1856,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,250.TIF
1857,other,other,UVT,154.TIF
1858,monocyte,myeloblast,UGU,133.TIF
1859,promonocyte,myeloblast,UVT,020.TIF
1860,neutrophil granulocyte (segmented),basophil granulocyte,UVT,046.TIF
1861,myeloblast,myeloblast,UGU,117.TIF
1862,metamyelocyte,neutrophil granulocyte (band),SBY,423.TIF
1863,normo,normo,UVT,227.TIF
1864,cup-like blast,myeloblast,UVT,454.TIF
1865,other,smudge cell,UVT,263.TIF
1866,atypical promyelocyte,basophil granulocyte,PKC,310.TIF
1867,other,smudge cell,UVT,059.TIF
1868,other,other,PKC,123.TIF
1869,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,232.TIF
1870,typical lymphocyte,plasma cell,BHS,012.TIF
1871,other,other,PKC,488.TIF
1872,myeloblast,myeloblast,SBY,327.TIF
1873,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,194.TIF
1874,neutrophil granulocyte (segmented),other,UVT,083.TIF
1875,monoblast,myeloblast,UVT,319.TIF
1876,monocyte,monocyte,SBY,389.TIF
1877,typical lymphocyte,typical lymphocyte,BHS,040.TIF
1878,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,439.TIF
1879,other,other,UGU,211.TIF
1880,promonocyte,mononucleosis,SBY,375.TIF
1881,other,myelocyte,UVT,369.TIF
1882,atypical promyelocyte,atypical promyelocyte,PKC,309.TIF
1883,typical lymphocyte,typical lymphocyte,SBY,138.TIF
1884,myeloblast,atypical promyelocyte,UVT,221.TIF
1885,typical lymphocyte,typical lymphocyte,BHS,423.TIF
1886,monocyte,metamyelocyte,BHS,127.TIF
1887,neutrophil granulocyte (band),neutrophil granulocyte (segmented),PKC,363.TIF
1888,other,atypical promyelocyte,PKC,466.TIF
1889,monocyte,neutrophil granulocyte (band),UGU,126.TIF
1890,large granulated lymphocyte,mononucleosis,PKC,189.TIF
1891,monocyte,neutrophil granulocyte (segmented),PKC,346.TIF
1892,atypical promyelocyte,myelocyte,PKC,361.TIF
1893,reactive lymphocyte,myeloblast,SBY,408.TIF
1894,other,smudge cell,SBY,175.TIF
1895,reactive lymphocyte,typical lymphocyte,UGU,461.TIF
1896,other,other,BHS,312.TIF
1897,other,other,UGU,436.TIF
1898,monocyte,myeloblast,SBY,270.TIF
1899,typical lymphocyte,typical lymphocyte,SBY,089.TIF
1900,myeloblast,myeloblast,SBY,150.TIF
1901,other,atypical promyelocyte,SBY,332.TIF
1902,other,atypical promyelocyte,BHS,165.TIF
1903,ambiguous,atypical promyelocyte,UGU,121.TIF
1904,myeloblast,myeloblast,UVT,490.TIF
1905,monocyte,plasma cell,PKC,166.TIF
1906,typical lymphocyte,typical lymphocyte,PKC,199.TIF
1907,monocyte,basophil granulocyte,PKC,068.TIF
1908,atypical promyelocyte,atypical promyelocyte,BHS,480.TIF
1909,reactive lymphocyte,mononucleosis,SBY,396.TIF
1910,monocyte,monocyte,UGU,476.TIF
1911,"atypical promyelocyte, bilobed",atypical promyelocyte,SBY,119.TIF
1912,monocyte,monocyte,PKC,412.TIF
1913,atypical promyelocyte,atypical promyelocyte,PKC,074.TIF
1914,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,001.TIF
1915,monocyte,neutrophil granulocyte (segmented),UGU,298.TIF
1916,large granulated lymphocyte,large granulated lymphocyte,UGU,007.TIF
1917,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,082.TIF
1918,myeloblast,myeloblast,UVT,108.TIF
1919,other,smudge cell,UVT,084.TIF
1920,monocyte,monocyte,PKC,079.TIF
1921,monocyte,monocyte,UGU,320.TIF
1922,myeloblast,myeloblast,UVT,236.TIF
1923,neutrophil granulocyte (band),neutrophil granulocyte (segmented),PKC,018.TIF
1924,promonocyte,myeloblast,UVT,055.TIF
1925,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,042.TIF
1926,other,other,PKC,433.TIF
1927,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,484.TIF
1928,other,basophil granulocyte,UVT,280.TIF
1929,cup-like blast,myeloblast,UVT,039.TIF
1930,myeloblast,atypical promyelocyte,BHS,325.TIF
1931,myeloblast,myeloblast,SBY,267.TIF
1932,monocyte,monocyte,SBY,111.TIF
1933,myeloblast,myeloblast,SBY,060.TIF
1934,myeloblast,myeloblast,SBY,428.TIF
1935,other,other,UVT,217.TIF
1936,typical lymphocyte,typical lymphocyte,SBY,391.TIF
1937,typical lymphocyte,typical lymphocyte,UGU,048.TIF
1938,myeloblast,myeloblast,UVT,342.TIF
1939,typical lymphocyte,typical lymphocyte,UGU,488.TIF
1940,other,metamyelocyte,UVT,185.TIF
1941,typical lymphocyte,typical lymphocyte,UGU,269.TIF
1942,other,neutrophil granulocyte (segmented),PKC,418.TIF
1943,ambiguous,other,UVT,341.TIF
1944,monocyte,myeloblast,UVT,062.TIF
1945,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,161.TIF
1946,typical lymphocyte,typical lymphocyte,UGU,234.TIF
1947,myeloblast,mononucleosis,UGU,159.TIF
1948,typical lymphocyte,typical lymphocyte,SBY,096.TIF
1949,reactive lymphocyte,myeloblast,UGU,382.TIF
1950,myeloblast,myeloblast,UVT,476.TIF
1951,myeloblast,myeloblast,UVT,157.TIF
1952,myeloblast,atypical promyelocyte,BHS,273.TIF
1953,other,typical lymphocyte,PKC,446.TIF
1954,typical lymphocyte,myeloblast,SBY,275.TIF
1955,myeloblast,myeloblast,UVT,253.TIF
1956,normo,normo,UVT,394.TIF
1957,myeloblast,myeloblast,SBY,076.TIF
1958,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),SBY,106.TIF
1959,myeloblast,myeloblast,SBY,488.TIF
1960,other,other,PKC,463.TIF
1961,monocyte,neutrophil granulocyte (band),UGU,075.TIF
1962,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,440.TIF
1963,other,other,UVT,477.TIF
1964,other,smudge cell,UVT,162.TIF
1965,other,atypical promyelocyte,BHS,360.TIF
1966,other,other,BHS,448.TIF
1967,reactive lymphocyte,myeloblast,SBY,400.TIF
1968,other,smudge cell,UVT,110.TIF
1969,monocyte,atypical promyelocyte,BHS,218.TIF
1970,myeloblast,mononucleosis,UVT,329.TIF
1971,typical lymphocyte,plasma cell,SBY,167.TIF
1972,myeloblast,myeloblast,UVT,278.TIF
1973,other,smudge cell,UVT,053.TIF
1974,myeloblast,myeloblast,UVT,344.TIF
1975,other,myeloblast,BHS,011.TIF
1976,typical lymphocyte,typical lymphocyte,SBY,450.TIF
1977,typical lymphocyte,typical lymphocyte,UGU,358.TIF
1978,typical lymphocyte,monocyte,BHS,302.TIF
1979,monocyte,neutrophil granulocyte (band),PKC,011.TIF
1980,typical lymphocyte,typical lymphocyte,PKC,330.TIF
1981,monocyte,normo,UGU,027.TIF
1982,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,298.TIF
1983,myeloblast,myeloblast,UGU,441.TIF
1984,typical lymphocyte,typical lymphocyte,UGU,486.TIF
1985,myeloblast,atypical promyelocyte,BHS,398.TIF
1986,typical lymphocyte,typical lymphocyte,UGU,193.TIF
1987,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,304.TIF
1988,myeloblast,myeloblast,UVT,330.TIF
1989,normo,normo,PKC,360.TIF
1990,myeloblast,myeloblast,SBY,112.TIF
1991,monocyte,neutrophil granulocyte (segmented),BHS,149.TIF
1992,typical lymphocyte,typical lymphocyte,UVT,089.TIF
1993,myeloblast,myeloblast,UVT,256.TIF
1994,neutrophil granulocyte (segmented),neutrophil granulocyte (band),UGU,266.TIF
1995,other,other,PKC,485.TIF
1996,other,other,PKC,013.TIF
1997,monocyte,neutrophil granulocyte (band),BHS,094.TIF
1998,myeloblast,atypical promyelocyte,BHS,050.TIF
1999,neutrophil granulocyte (segmented),other,BHS,301.TIF
2000,other,eosinophil granulocyte,BHS,407.TIF
2001,myeloblast,mononucleosis,UVT,167.TIF
2002,other,atypical promyelocyte,BHS,460.TIF
2003,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,147.TIF
2004,other,large granulated lymphocyte,UGU,392.TIF
2005,typical lymphocyte,typical lymphocyte,BHS,481.TIF
2006,typical lymphocyte,typical lymphocyte,UVT,054.TIF
2007,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,465.TIF
2008,other,smudge cell,UVT,192.TIF
2009,monocyte,neutrophil granulocyte (segmented),BHS,191.TIF
2010,typical lymphocyte,typical lymphocyte,PKC,198.TIF
2011,large granulated lymphocyte,large granulated lymphocyte,UGU,283.TIF
2012,neutrophil granulocyte (band),neutrophil granulocyte (band),UGU,311.TIF
2013,typical lymphocyte,typical lymphocyte,UGU,374.TIF
2014,typical lymphocyte,typical lymphocyte,UGU,070.TIF
2015,other,normo,PKC,093.TIF
2016,atypical promyelocyte,atypical promyelocyte,BHS,173.TIF
2017,monocyte,metamyelocyte,UGU,364.TIF
2018,atypical promyelocyte,atypical promyelocyte,BHS,347.TIF
2019,other,smudge cell,UVT,023.TIF
2020,large granulated lymphocyte,large granulated lymphocyte,UVT,146.TIF
2021,myeloblast,mononucleosis,UVT,481.TIF
2022,ambiguous,myeloblast,UVT,361.TIF
2023,monoblast,mononucleosis,UVT,141.TIF
2024,monocyte,bilobed M3v,SBY,132.TIF
2025,typical lymphocyte,typical lymphocyte,UGU,061.TIF
2026,myeloblast,atypical promyelocyte,BHS,437.TIF
2027,other,large granulated lymphocyte,UGU,398.TIF
2028,monocyte,mononucleosis,PKC,417.TIF
2029,other,other,PKC,416.TIF
2030,typical lymphocyte,typical lymphocyte,SBY,474.TIF
2031,ambiguous,atypical promyelocyte,PKC,171.TIF
2032,eosinophil granulocyte,eosinophil granulocyte,UGU,355.TIF
2033,other,smudge cell,UGU,257.TIF
2034,typical lymphocyte,typical lymphocyte,UGU,202.TIF
2035,myeloblast,myeloblast,UVT,125.TIF
